"Data Export Generated on Wed Mar 26 05:02:26 PDT 2025"
"Survey ID 12838980"
"Dashboard Name My Dashboard"
"Response ID","Response Status","IP Address","Timestamp (mm/dd/yyyy)","Duplicate","Time Taken to Complete (Seconds)","Seq. Number","External Reference","Custom Variable 1","Custom Variable 2","Custom Variable 3","Custom Variable 4","Custom Variable 5","Respondent Email","Email List","Country Code","Region","1. What is your gender?","2. What is your age?","3. Have you use Foodpanda before?","4. How often do you order from Foodpanda monthly? ","5. How much would you spend per meal order? (include delivery fee)","6.  How much do you spend on groceries (eg. Household supplies) per month using FoodPanda?","7. Which do you prefer ordering more frequently?","8. How would you rate the quality of the food delivered?","Delivery time ","Customer service","Variety of options","User interface of the app","10. How often do you take advantage of promotions or discounts offered by Foodpanda? ","11. Have you ever experienced issues with order accuracy? (eg. Wrong order) If so please describe:","12. Have you ever needed to contact customer support? If yes how was your experience? (please give 5-15 words)","13. Are there any payment options you would like to see added?","","","","","14. Which disadvantage do you think Foodpanda has when comparing to Keeta (competitor) ? (At most 3 options)","","","","","","15. What improvements would you like to see in Foodpanda? (At most 3 options)","","","","","","16. How likely are you to recommend Foodpanda to friends or family?","17. Would you consider switching to a competitor (e.g. Keeta Uber Eats) if they offered better discounts?(open-end question)",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Delivery time ","Customer service","Variety of options","User interface of the app","","","","Digital Wallet (e.g., PayPal, Apple Pay, Alipay)","China UnionPay","Octopus card","Bank Transfer (eg.FPS)","Tap&Go","Higher delivery fee","Poor customer support response times performance","Lacking promotional offers","Slower delivery speed","Limited payment options","Difficulty tracking orders","Better delivery speed","More restaurant options","Improved app functionality","More promotions","Better customer service","Other (Please specific):","","",""
"163400851","Completed","124.217.188.160","03/22/2025 18:52:39","0","398","1","","","","","","","","","","","1","19","2","5","1","1","1","3","4","2","4","3","3","No","No","1","","","","","1","","","","1","","","1","1","","","","4","Yes, i would order in the platform that give more favours to me, because the food of restaurant are the same for all delivery platforms, price is the most important determine factor.",""
"163402026","Completed","1.65.203.175","03/22/2025 18:55:36","0","205","1","","","","","","","","","","","1","19","1","4","1","1","1","4","3","4","5","5","2","Utensils missing","No","1","1","1","1","1","1","","","","","","","","1","1","","","2","In the perspective of a consumer, I would consider switching to FoodPanda’s competitor if there are better deals or more discounts",""
"163421960","Completed","14.198.160.207","03/22/2025 19:54:10","0","114","1","","","","","","","","","","","1","19","1","3","2","2","1","4","4","4","5","5","3","no","no","1","","1","1","","1","","","","","","","","","1","","","2","",""
"163456227","Completed","203.218.253.109","03/22/2025 21:01:36","0","141","1","","","","","","","","","","","2","19","1","3","1","1","1","2","5","4","5","3","1","wrong delivery address","ys, bad experience","1","","","","","1","1","","1","","","1","","","1","1","","5","ys",""
"163691430","Completed","14.199.177.220","03/23/2025 17:23:16","0","189","1","","","","","","","","","","","2","20","1","2","2","1","1","4","3","3","3","3","4","no","Yes, give wrong ","1","","","","","1","","","","","","","1","","","1","","2","Keeta",""
"163699277","Completed","59.148.107.210","03/23/2025 17:45:28","0","110","1","","","","","","","","","","","1","23","1","3","1","1","1","3","2","2","2","2","2","No","No","","","1","","","","","","","1","","","","","1","","","3","",""
"163723754","Completed","14.198.160.207","03/23/2025 18:52:26","0","105","1","","","","","","","","","","","2","19","1","3","3","3","3","4","4","4","4","4","3","no","no","","1","","1","","1","","1","","1","","","1","","1","","","2","",""
"163773213","Completed","14.198.160.207","03/23/2025 23:04:54","0","73","1","","","","","","","","","","","2","19","1","3","2","2","2","4","4","4","4","4","3","no","no","1","","1","1","","1","","1","","","","","","1","1","","","1","",""
"163773330","Completed","14.198.160.207","03/23/2025 23:06:29","0","88","1","","","","","","","","","","","1","19","1","2","3","2","1","5","5","5","4","4","2","wrong order","No","","","1","1","","1","","1","","1","","","1","1","1","","","2","",""
"163814859","Completed","158.182.255.21","03/24/2025 09:01:06","0","105","1","","","","","","","","","","","2","20","2","5","1","1","3","3","3","3","3","3","3","no","no","1","","1","","","1","","","","","","1","1","","1","","","3","yes",""
"163824791","Completed","158.182.0.121","03/24/2025 12:27:52","0","116","1","","","","","","","","","","","2","21","2","5","1","1","1","3","3","3","4","3","4","no","no","1","","","","1","1","","","","","1","","","1","1","1","","3","",""
"163840093","Completed","14.0.180.109","03/24/2025 14:13:47","0","552","1","","","","","","","","","","","1","19","1","3","3","1","1","3","4","3","5","3","2","Missed some food and drinks or soup splash out of the containers.","Yes, although they offered me some coupons or discounts, I was still not satisfied and disappointed.","1","","","1","","1","","","","","","","","","1","1","","3","Of course",""
"163841100","Completed","14.0.158.90","03/24/2025 14:17:22","0","123","1","","","","","","","","","","","1","19","1","3","2","1","1","4","4","3","4","4","3","No","No","","","1","1","","1","","","","","1","1","","1","1","","","4","Yes",""
"163912416","Completed","14.0.155.79","03/24/2025 17:37:16","0","177","1","","","","","","","","","","","2","20","1","3","2","1","1","4","4","3","4","2","1","Delayed delivery ","With mostly no chance of getting compensated ","","","1","","","1","","","","","","","1","","","","","2","Yes",""
"163975079","Completed","110.235.62.157","03/24/2025 20:33:34","0","229","1","","","","","","","","","","","2","20","1","4","1","2","3","4","5","3","4","4","3","Put ","Wrong place","1","","","1","","1","","","","1","","1","1","","1","","","2","Yes",""
"164474899","Completed","158.182.254.194","03/26/2025 10:39:16","0","156","1","","","","","","","","","","","1","20","2","4","2","1","1","4","4","4","4","4","3","No","no ","1","1","1","1","","1","","","1","","","1","","1","","","","3","keeta",""
"164474983","Completed","158.182.255.146","03/26/2025 10:40:51","0","138","1","","","","","","","","","","","2","21","1","4","1","1","1","4","4","4","5","3","4","no","no","","","1","1","","1","","","","","","1","1","","1","","","4","",""
"164475100","Completed","14.0.236.134","03/26/2025 10:42:44","0","208","1","","","","","","","","","","","1","21","1","3","2","1","1","3","4","3","5","3","2","Wrong order","No","1","","","","","","","","1","","","1","1","1","","","","2","No",""
