gender,satisfaction,time,expenditure,membership,education
F,Very Satisfactory,23.34,431,1,Bachelor's degree
M,Satisfactory,135.22,462,1,Associate degree or diploma
F,Satisfactory,41.68,321,0,Bachelor's degree
M,Satisfactory,14.23,148,0,Bachelor's degree
F,Very Satisfactory,136.43,352,1,Master's degree or above
F,Very Satisfactory,37.05,171,0,Bachelor's degree
F,Netural,28.4,482,1,Master's degree or above
F,Satisfactory,28.63,245,0,Bachelor's degree
M,Satisfactory,28.48,431,1,Bachelor's degree
M,Netural,125.88,455,1,Bachelor's degree
M,Satisfactory,29.18,384,0,Master's degree or above
M,Netural,5.01,412,1,Associate degree or diploma
M,Netural,126.79,478,1,Master's degree or above
M,Netural,33.52,52,0,Master's degree or above
M,Netural,40.68,321,1,Bachelor's degree
F,Very Satisfactory,32.12,101,0,Associate degree or diploma
M,Netural,218.91,199,0,Master's degree or above
F,Very Satisfactory,25.71,490,1,Master's degree or above
F,Satisfactory,26.3,275,0,Bachelor's degree
M,Netural,52.33,167,1,Master's degree or above
M,Satisfactory,34.07,196,0,Master's degree or above
F,Very Satisfactory,128.98,245,1,Bachelor's degree
F,Very Satisfactory,29.48,350,1,Associate degree or diploma
M,Very Satisfactory,36.68,296,0,Bachelor's degree
M,Satisfactory,27.45,52,0,Master's degree or above
M,Very Satisfactory,21.41,412,1,Bachelor's degree
M,Netural,37.6,262,0,Associate degree or diploma
M,Netural,32.66,328,1,Associate degree or diploma
M,Very Satisfactory,32.88,41,0,Bachelor's degree
F,Satisfactory,25.51,116,1,Bachelor's degree
F,Satisfactory,41.82,319,1,Bachelor's degree
F,Netural,29.2,280,0,Associate degree or diploma
F,Very Satisfactory,87.32,13,0,Bachelor's degree
F,Satisfactory,28.99,64,1,Bachelor's degree
F,Very Satisfactory,19.97,402,1,Bachelor's degree
F,Very Satisfactory,23.66,192,0,Master's degree or above
F,Netural,15.56,490,1,Secondary School or less
M,Very Satisfactory,22.27,96,0,Secondary School or less
M,Satisfactory,30.65,278,0,Bachelor's degree
M,Very Satisfactory,29.27,332,1,Secondary School or less
M,Very Satisfactory,44.6,314,1,Bachelor's degree
M,Netural,24.45,182,0,Associate degree or diploma
M,Netural,26.16,381,0,Bachelor's degree
F,Very Satisfactory,30.76,259,1,Bachelor's degree
F,Satisfactory,25.05,261,0,Associate degree or diploma
M,Netural,25.25,38,1,Bachelor's degree
M,Very Satisfactory,24.14,140,0,Bachelor's degree
M,Very Satisfactory,22.98,26,1,Associate degree or diploma
F,Very Satisfactory,28.81,224,0,Bachelor's degree
F,Satisfactory,29.03,380,1,Bachelor's degree
F,Satisfactory,18.55,89,0,Bachelor's degree
F,Very Unsatisfactory,28.34,328,1,Associate degree or diploma
F,Very Unsatisfactory,24.13,217,0,Associate degree or diploma
M,Netural,24.88,464,1,Associate degree or diploma
M,Very Satisfactory,31.7,194,0,Bachelor's degree
M,Netural,37.5,56,0,Bachelor's degree
